FOLD,N_LABELS,N_TRAIN_PAIRS,N_EFFECTIVE_SOURCE_DRAWS,N_CONNECTED_COMPONENTS,LARGEST_COMPONENT_LABEL_FRACTION,LARGEST_COMPONENT_PAIR_FRACTION,LSQR_ISTOP,LSQR_ITERS,LSQR_ACOND,LSQR_R1NORM,LSQR_ARNORM,N_HOLDOUT_PAIRS,N_HOLDOUT_SAME_COMPONENT,N_HOLDOUT_CROSS_COMPONENT,BEFORE_RAW_WIDTH_KMS,AFTER_RAW_WIDTH_KMS,BEFORE_WIDTH_Z,AFTER_WIDTH_Z,BEFORE_TAIL_GT_3,AFTER_TAIL_GT_3,BEFORE_TAIL_GT_5,AFTER_TAIL_GT_5,BEFORE_MEAN_GAUSSIAN_PAIR_LOSS,AFTER_MEAN_GAUSSIAN_PAIR_LOSS,MACRO_WIDTH_BEFORE_Z,MACRO_WIDTH_AFTER_Z,MACRO_GAUSSIAN_PAIR_LOSS_BEFORE,MACRO_GAUSSIAN_PAIR_LOSS_AFTER,PERMUTATION,CONTROL
2,527,1323664,645239.0,1,1.0,1.0,2,124,429.75405008516805,831.8991362493402,0.0035578579172648238,346600,345597,1003,3.64301166599779,3.5272101798289164,0.9284943306573383,0.9013965511341242,0.04177119593052023,0.03769129940364065,0.017225265265612837,0.016661024256576302,4.00780861152743,3.9513239357971943,0.9220675490967533,0.9129431260733186,3.8288627850337886,3.8091010410872026,54,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,527,1322135,644801.0,1,1.0,1.0,2,132,472.18440558311687,831.6223856700049,0.003430704965680396,348218,347218,1000,3.6593438289939977,3.529901724907937,0.9312001739232335,0.9008374585857759,0.04206291148500366,0.03785518031899268,0.01761429418981735,0.017029647080508498,4.000454634775509,3.9440827459554724,0.9244675262344129,0.9117811670801274,3.8430428052517844,3.822618285336988,54,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,528,1323542,645069.0,1,1.0,1.0,2,142,542.6231172548303,832.3515053932747,0.0038404080059188097,347113,346085,1028,3.6340574505035965,3.5067668366165017,0.9265547023285139,0.8959911250425304,0.04174696967507982,0.03771038906626985,0.01769507490934308,0.017042056142277186,4.005248508488706,3.948220778565871,0.9213911839146848,0.9086315978798146,3.8893629577317097,3.870067711552975,54,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,526,1308221,640134.0,1,1.0,1.0,2,134,485.5521675165004,830.434472105426,0.0033335922317329933,348461,347590,871,3.661782989984464,3.5269034561322865,0.9330226666182004,0.9010406350627462,0.0420495411260393,0.040378031588940995,0.017650105008774706,0.017218562099024712,4.063567211815579,4.02802671857653,0.9380702165864744,0.9198265546373504,3.9698512439633347,3.9488632747857277,55,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,524,1309996,640543.0,1,1.0,1.0,2,134,487.8130304236461,830.2975383460637,0.0029028638512963957,346290,345330,960,3.6601671322173903,3.527043671108115,0.9317188511850085,0.8991076578822493,0.04213361132829468,0.040361393449743724,0.017861176266180175,0.017444183824168187,4.061311067355632,4.025103844336135,0.9343540831183291,0.9187590692284461,3.943922256706102,3.9245568654357617,55,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,525,1309832,641170.0,1,1.0,1.0,2,139,518.2427718437092,830.7032645194994,0.0032517841037968424,346600,345764,836,3.6436660814633943,3.5300678278993267,0.9302204579800868,0.8992487460757848,0.04185513818674009,0.040134311264330584,0.017257435707592462,0.016872780277877395,4.013081046318625,3.977571980831649,0.9266393714222686,0.9121734632538668,3.8413535541569677,3.8202717165280102,55,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,525,1308369,640757.0,1,1.0,1.0,2,130,464.74693257269655,830.4668969063853,0.003078719278732402,348218,347279,939,3.659247610128175,3.528833500088762,0.9325298879249074,0.9011958244579408,0.04202960731861126,0.040419950529689386,0.01761120021654059,0.017259897661534386,4.001132215966159,3.9647259319072434,0.928697113618794,0.9145355860292529,3.846949018654635,3.8282756105442513,55,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,524,1309109,640868.0,1,1.0,1.0,2,131,471.0501243435475,831.4437769708442,0.0028837095979693567,347113,346191,922,3.633865417002646,3.504379196610307,0.927253161788866,0.8952421303264844,0.04169374709336753,0.039934602574879186,0.017709876917655284,0.01724770430196048,4.003448033480397,3.968453245196549,0.9249613641237883,0.9077964794950626,3.8933441705771314,3.876207292369427,55,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,518,1317214,643419.0,1,1.0,1.0,2,119,398.2826555626086,823.6175873573794,0.003477233143661311,348461,347337,1124,3.6615117858409527,3.466229498026311,0.9472219321118129,0.9006212661728004,0.043577275095944286,0.039503421748906684,0.018388481503554186,0.01754204130282694,4.1149117552377,4.041547229186475,0.9416818594176846,0.9244818478415575,3.9857655094003213,3.958105761941973,56,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,518,1319297,644004.0,1,1.0,1.0,2,125,429.5258318383307,824.586649736119,0.0027285272293334968,346290,345157,1133,3.660032102574547,3.460271575928706,0.9446963484161942,0.8956402490070379,0.04373951564070843,0.03935310597785935,0.018574156108669387,0.017647041780986625,4.102275369459327,4.028880891985871,0.9358126862585315,0.914435209231145,3.945395866896604,3.9180575004445344,56,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,518,1319080,644553.0,1,1.0,1.0,2,129,451.5580613343062,824.7539549309801,0.0035228043598121454,346600,345457,1143,3.643955775540121,3.4617235614974775,0.944692670345016,0.8986556077109833,0.04334258677635711,0.03926682626202393,0.018016714091768294,0.01721777240003821,4.063104356681891,3.9925962429291695,0.9288580992377055,0.9104877212340381,3.851407965652084,3.8245743936365426,56,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,517,1317285,644097.0,1,1.0,1.0,2,113,365.8919848343275,824.8221944850361,0.003117201528283397,348218,346989,1229,3.658960191959692,3.462590036340936,0.9461227679506862,0.8969411605529638,0.04369590966860621,0.0392404370167354,0.018357930654862256,0.017562516391009513,4.05089173483474,3.977995887997623,0.9294430686602886,0.9097264112963795,3.859207481055521,3.831999876037233,56,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,517,1318458,644204.0,1,1.0,1.0,2,125,426.216362739166,825.602338389357,0.0031722418817799,347113,345909,1204,3.6340696377208435,3.4330606769880365,0.9404368413113798,0.8907494579103186,0.04321367758572341,0.03906229673122122,0.01837477486853479,0.017441003269646062,4.050953527446188,3.9761268880079172,0.9272133167817058,0.9081673009404728,3.9067451261578143,3.8825104630593636,56,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,521,1310329,642485.0,1,1.0,1.0,2,157,686.0585019626369,839.7256694116693,0.003252257040659438,348461,347393,1068,3.6597143112998882,3.534969417136458,0.9279519212777226,0.9011560474571321,0.04177977103741296,0.03764612413030775,0.017562242186802843,0.01718802624117354,4.055165133845034,3.9984984090409257,0.9319841804431697,0.9210242902058671,3.962804840686655,3.9410218135340105,57,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,523,1312914,643235.0,1,1.0,1.0,2,164,712.1414579359114,839.7592479360932,0.003539000252845134,346290,345347,943,3.6599457125094608,3.5470560651982295,0.9279396127927014,0.9015869669678415,0.04194621641421527,0.03783441002817456,0.017802384268576242,0.017327499587371543,4.053810484933704,3.999842890467791,0.9286773257336095,0.9175907377418753,3.9357495438336207,3.9142656521627117,57,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,522,1312106,643673.0,1,1.0,1.0,2,157,692.7724401164592,840.3661375967118,0.003503099504620184,346600,345630,970,3.6444959616282193,3.5390275678096037,0.9258763124177736,0.902971187286155,0.041689089488759656,0.03754014408471487,0.017183114891647137,0.016888001620229725,4.003754528936886,3.9507770366465413,0.9214872653908598,0.9121813859302089,3.8294315830489905,3.810273199323641,57,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,522,1310693,643260.0,1,1.0,1.0,2,156,679.1918893192609,840.0169185437143,0.0035102026059395325,348218,347309,909,3.6590905047712283,3.5517002935573156,0.9281325199766994,0.9034651115736274,0.041838823641195594,0.03759476431650202,0.017575127624104184,0.017163390525439883,3.9917187705620507,3.9385500250925705,0.9233731194765108,0.9130041864059854,3.833363307452499,3.814770658398459,57,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
