PROGRAM_P,PROGRAM_Q,DIRECTION,LAG_DAYS,R,N,IS_PRIMARY_LAG
BACKUP,DARK,P_B_Q_A,9,0.2298506205010438,38,False
BACKUP,DARK,P_B_Q_A,-10,0.5012257062643282,47,False
BACKUP,DARK,P_B_Q_A,10,-0.0011114903764016576,32,False
BACKUP,DARK,P_B_Q_A,-11,0.5327466167728313,40,False
BACKUP,DARK,P_B_Q_A,11,0.15908103268465082,35,False
BACKUP,DARK,P_B_Q_A,-12,0.6276041329658282,40,False
BACKUP,DARK,P_B_Q_A,12,-0.01157274622128679,41,False
BACKUP,DARK,P_B_Q_A,-13,0.6073298676529297,38,False
BACKUP,DARK,P_B_Q_A,13,0.07998279170905705,36,False
BACKUP,DARK,P_B_Q_A,-14,0.3449162014477019,37,False
BACKUP,DARK,P_B_Q_A,14,0.2105974535419645,32,False
BACKUP,DARK,P_B_Q_A,-15,0.5502442893896086,36,False
BACKUP,DARK,P_B_Q_A,15,0.1672081343790976,35,False
BACKUP,DARK,P_B_Q_A,-16,0.4496694312631659,35,False
BACKUP,DARK,P_B_Q_A,16,0.5884792666760297,35,False
BACKUP,DARK,P_B_Q_A,-17,0.43121187564950886,41,False
BACKUP,DARK,P_B_Q_A,17,0.5695575013756555,32,False
BACKUP,DARK,P_B_Q_A,-18,0.5351205565065247,38,False
BACKUP,DARK,P_B_Q_A,18,0.3485678007662201,39,False
BACKUP,DARK,P_B_Q_A,-19,0.5205212524059103,34,False
BACKUP,DARK,P_B_Q_A,19,0.5877122302071341,41,False
BACKUP,DARK,P_B_Q_A,-20,0.4622398856250485,37,False
BACKUP,DARK,P_B_Q_A,20,0.4574760788730431,38,False
BACKUP,DARK,P_B_Q_A,-21,0.37425078123342553,39,False
BACKUP,DARK,P_B_Q_A,21,0.09327795306781685,34,False
BACKUP,DARK,P_B_Q_A,-22,0.4208080321810768,40,False
BACKUP,DARK,P_B_Q_A,22,0.4084853414712763,38,False
BACKUP,DARK,P_B_Q_A,-23,0.28552115472453693,33,False
BACKUP,DARK,P_B_Q_A,23,0.22497533510293155,40,False
BACKUP,DARK,P_B_Q_A,-24,0.288766323471633,38,False
BACKUP,DARK,P_B_Q_A,24,0.16427950606439043,34,False
BACKUP,DARK,P_B_Q_A,-25,0.4200286181522953,39,False
BACKUP,DARK,P_B_Q_A,25,0.11551610439244618,32,False
BACKUP,DARK,P_B_Q_A,-26,0.24261505854444546,32,False
BACKUP,DARK,P_B_Q_A,26,0.2257973530494119,32,False
BACKUP,DARK,P_B_Q_A,-27,0.4472664733788687,33,False
BACKUP,DARK,P_B_Q_A,27,0.010016619029776252,34,False
BACKUP,DARK,P_B_Q_A,-28,0.30344948286636664,36,False
BACKUP,DARK,P_B_Q_A,28,-0.17429828366947103,29,False
BACKUP,DARK,P_B_Q_A,-29,0.15776177869710994,32,False
BACKUP,DARK,P_B_Q_A,29,0.06295514316832691,32,False
BACKUP,DARK,P_B_Q_A,-30,0.16803936057192315,33,False
BACKUP,DARK,P_B_Q_A,30,-0.060330973760331925,33,False
