HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
B,BACKUP,20220509,-0.6627094046442693,0,77,477730,5
B,BACKUP,20220510,-0.2974683479168723,0,77,477730,5
B,BACKUP,20220511,-1.36066176290899,0,77,477730,5
B,BACKUP,20220513,-1.2477512885206163,0,77,477730,5
B,BACKUP,20220514,-1.3726581851521575,0,77,477730,5
B,BACKUP,20220515,-1.8526263291404466,0,77,477730,5
B,BACKUP,20220526,-2.121501103686327,0,77,477730,5
B,BACKUP,20220527,-0.17787856943090324,0,77,477730,5
B,BACKUP,20220528,-1.372301550357766,0,77,477730,5
B,BACKUP,20220601,-0.07444021894597315,0,77,477730,5
B,BACKUP,20220604,0.5907426684376667,0,77,477730,5
B,BACKUP,20220605,0.07444021894597314,0,77,477730,5
B,BACKUP,20220607,0.15546803741428714,0,77,477730,5
B,BACKUP,20220608,-2.1799812339338094,0,77,477730,5
B,BACKUP,20220609,0.7063676915737178,0,77,477730,5
B,BACKUP,20220610,0.6384455989816094,0,77,477730,5
B,BACKUP,20220612,-1.0796950762743258,0,77,477730,5
A,BRIGHT,20210514,0.811014649062869,0,206,117550,1
A,BRIGHT,20210515,0.44146551293153746,0,206,117550,1
A,BRIGHT,20210516,0.7382660362000032,0,206,117550,1
A,BRIGHT,20210517,0.47695778569773695,0,206,117550,1
A,BRIGHT,20210518,-0.10397064570787187,0,206,117550,1
A,BRIGHT,20210519,-0.111337789345035,0,206,117550,1
A,BRIGHT,20210521,0.11501632775902368,0,206,117550,1
A,BRIGHT,20210522,-0.2335643576261439,0,206,117550,1
A,BRIGHT,20210528,0.5375031602704086,0,206,117550,1
A,BRIGHT,20210531,1.0469854581631766,0,206,117550,1
A,BRIGHT,20210602,0.6671911836491844,0,206,117550,1
A,BRIGHT,20210603,0.48600683144901347,0,206,117550,1
A,BRIGHT,20210604,0.45780629077576485,0,206,117550,1
A,BRIGHT,20210605,0.32019580390640223,0,206,117550,1
A,BRIGHT,20210606,0.6094976156899621,0,206,117550,1
A,BRIGHT,20210607,1.2414408913271306,0,206,117550,1
A,BRIGHT,20210609,0.7347443312962766,0,206,117550,1
A,BRIGHT,20210610,-0.02462448742177714,0,206,117550,1
A,BRIGHT,20210613,-0.23776869157550815,0,206,117550,1
A,BRIGHT,20210614,1.0427342997245237,0,206,117550,1
A,BRIGHT,20210615,-0.3720465057704565,0,206,117550,1
A,BRIGHT,20210616,0.9642936881806324,0,206,117550,1
A,BRIGHT,20210617,0.1778416014634104,0,206,117550,1
A,BRIGHT,20210618,0.21497089091207483,0,206,117550,1
A,BRIGHT,20210619,0.1821026518358034,0,206,117550,1
A,BRIGHT,20210620,-0.13806369559071321,0,206,117550,1
A,BRIGHT,20210705,0.5071921397363838,0,206,117550,1
A,BRIGHT,20210706,0.6208025557117696,0,206,117550,1
A,BRIGHT,20210708,1.2183155722594556,0,206,117550,1
A,BRIGHT,20210709,0.2891570769803363,0,206,117550,1
A,BRIGHT,20210921,-0.3606421874190633,0,206,117550,1
A,BRIGHT,20210923,-0.5226845567638273,0,206,117550,1
A,BRIGHT,20210926,0.3332556927838386,0,206,117550,1
A,BRIGHT,20210927,0.2675098444335395,0,206,117550,1
A,BRIGHT,20210928,0.26715660875581726,0,206,117550,1
A,BRIGHT,20210930,0.10931917504400376,0,206,117550,1
A,BRIGHT,20211003,-0.03361229535566429,0,206,117550,1
A,BRIGHT,20211006,0.9741486337080385,0,206,117550,1
A,BRIGHT,20211009,0.5488982834337189,0,206,117550,1
A,BRIGHT,20211014,-0.13046747152465143,0,206,117550,1
A,BRIGHT,20211015,0.28606039296441826,0,206,117550,1
A,BRIGHT,20211016,-0.9755709941505396,0,206,117550,1
A,BRIGHT,20211019,-0.6270776216327005,0,206,117550,1
