SCOPE,FOLD,LABEL,PROGRAM,NIGHT,PETAL,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS
REAL,1,DARK:20220324:P9,DARK,20220324,9,-0.30582745580941867,0,4579,1325065
REAL,1,DARK:20220325:P0,DARK,20220325,0,0.1497436906256411,0,4579,1325065
REAL,1,DARK:20220325:P1,DARK,20220325,1,-0.08665217353227748,0,4579,1325065
REAL,1,DARK:20220325:P2,DARK,20220325,2,-0.21915433682389732,0,4579,1325065
REAL,1,DARK:20220325:P3,DARK,20220325,3,1.133893139753451,0,4579,1325065
REAL,1,DARK:20220325:P4,DARK,20220325,4,0.15916926311100077,0,4579,1325065
REAL,1,DARK:20220325:P5,DARK,20220325,5,0.09105997769237027,0,4579,1325065
REAL,1,DARK:20220325:P6,DARK,20220325,6,-0.8507590808058212,0,4579,1325065
REAL,1,DARK:20220325:P7,DARK,20220325,7,-0.7951120977171193,0,4579,1325065
REAL,1,DARK:20220325:P8,DARK,20220325,8,1.2095610576433307,0,4579,1325065
REAL,1,DARK:20220325:P9,DARK,20220325,9,-0.7917494399466785,0,4579,1325065
REAL,1,DARK:20220326:P0,DARK,20220326,0,-0.12502924573903906,0,4579,1325065
REAL,1,DARK:20220326:P1,DARK,20220326,1,-0.08066074731379283,0,4579,1325065
REAL,1,DARK:20220326:P2,DARK,20220326,2,0.49041030805292457,0,4579,1325065
REAL,1,DARK:20220326:P3,DARK,20220326,3,0.1757411793019247,0,4579,1325065
REAL,1,DARK:20220326:P4,DARK,20220326,4,0.34106084787619323,0,4579,1325065
REAL,1,DARK:20220326:P5,DARK,20220326,5,0.045948163365032324,0,4579,1325065
REAL,1,DARK:20220326:P6,DARK,20220326,6,0.2081195434349911,0,4579,1325065
REAL,1,DARK:20220326:P7,DARK,20220326,7,-0.25647506069491227,0,4579,1325065
REAL,1,DARK:20220326:P8,DARK,20220326,8,0.5924192902757563,0,4579,1325065
REAL,1,DARK:20220326:P9,DARK,20220326,9,-1.391534278559078,0,4579,1325065
REAL,1,DARK:20220327:P0,DARK,20220327,0,-0.27955077385204624,0,4579,1325065
REAL,1,DARK:20220327:P1,DARK,20220327,1,1.122911726587906,0,4579,1325065
REAL,1,DARK:20220327:P2,DARK,20220327,2,0.21540367843563668,0,4579,1325065
REAL,1,DARK:20220327:P3,DARK,20220327,3,0.14263124034232388,0,4579,1325065
REAL,1,DARK:20220327:P4,DARK,20220327,4,0.6275357105522302,0,4579,1325065
REAL,1,DARK:20220327:P5,DARK,20220327,5,-0.006048817224529435,0,4579,1325065
REAL,1,DARK:20220327:P6,DARK,20220327,6,-0.9955616014368938,0,4579,1325065
REAL,1,DARK:20220327:P7,DARK,20220327,7,-0.5195212500678125,0,4579,1325065
REAL,1,DARK:20220327:P8,DARK,20220327,8,0.6009786624007013,0,4579,1325065
REAL,1,DARK:20220327:P9,DARK,20220327,9,-0.9087785757375161,0,4579,1325065
REAL,1,DARK:20220329:P0,DARK,20220329,0,0.5651357914560806,0,4579,1325065
REAL,1,DARK:20220329:P1,DARK,20220329,1,0.05819786353715749,0,4579,1325065
REAL,1,DARK:20220329:P2,DARK,20220329,2,0.6821457299073904,0,4579,1325065
REAL,1,DARK:20220329:P3,DARK,20220329,3,0.20593595576954757,0,4579,1325065
REAL,1,DARK:20220329:P4,DARK,20220329,4,0.6568691510062261,0,4579,1325065
REAL,1,DARK:20220329:P5,DARK,20220329,5,-0.8209762945239569,0,4579,1325065
REAL,1,DARK:20220329:P6,DARK,20220329,6,0.31136996406164835,0,4579,1325065
REAL,1,DARK:20220329:P7,DARK,20220329,7,-1.351185972711681,0,4579,1325065
REAL,1,DARK:20220329:P8,DARK,20220329,8,0.7925954407934783,0,4579,1325065
REAL,1,DARK:20220329:P9,DARK,20220329,9,-1.100087629295891,0,4579,1325065
REAL,1,DARK:20220330:P0,DARK,20220330,0,0.1087317300805121,0,4579,1325065
REAL,1,DARK:20220330:P1,DARK,20220330,1,-0.08461402314836625,0,4579,1325065
REAL,1,DARK:20220330:P2,DARK,20220330,2,0.22867194540555177,0,4579,1325065
REAL,1,DARK:20220330:P3,DARK,20220330,3,0.20375823089377518,0,4579,1325065
REAL,1,DARK:20220330:P4,DARK,20220330,4,0.14561277778251697,0,4579,1325065
REAL,1,DARK:20220330:P5,DARK,20220330,5,-0.2048453404230081,0,4579,1325065
REAL,1,DARK:20220330:P6,DARK,20220330,6,0.4425005944112888,0,4579,1325065
REAL,1,DARK:20220330:P7,DARK,20220330,7,-0.45955923370136775,0,4579,1325065
REAL,1,DARK:20220330:P8,DARK,20220330,8,0.36278601470998506,0,4579,1325065
REAL,1,DARK:20220330:P9,DARK,20220330,9,-0.7430426960108878,0,4579,1325065
REAL,1,DARK:20220331:P0,DARK,20220331,0,-0.023301438371786005,0,4579,1325065
REAL,1,DARK:20220331:P1,DARK,20220331,1,0.24332554096411557,0,4579,1325065
REAL,1,DARK:20220331:P2,DARK,20220331,2,0.08256192829782683,0,4579,1325065
REAL,1,DARK:20220331:P3,DARK,20220331,3,0.9264520793085446,0,4579,1325065
REAL,1,DARK:20220331:P4,DARK,20220331,4,0.1330517802660156,0,4579,1325065
REAL,1,DARK:20220331:P5,DARK,20220331,5,-0.5266169111546951,0,4579,1325065
REAL,1,DARK:20220331:P6,DARK,20220331,6,-0.06630399538655249,0,4579,1325065
REAL,1,DARK:20220331:P7,DARK,20220331,7,0.028050085276916825,0,4579,1325065
REAL,1,DARK:20220331:P8,DARK,20220331,8,0.014362171253503586,0,4579,1325065
REAL,1,DARK:20220331:P9,DARK,20220331,9,-0.8115812404538892,0,4579,1325065
REAL,1,DARK:20220401:P0,DARK,20220401,0,-0.5413053894802542,0,4579,1325065
REAL,1,DARK:20220401:P1,DARK,20220401,1,0.2889126317930176,0,4579,1325065
